	Tiếng Việt	Українська	日本語	한국어	UI language name	
2290	A skilled pianist.	Вправно грає на піаніно.	腕利きのピアニスト。	솜씨 좋은 피아니스트입니다.	information about the person	
2291	Has an elaborate tea set collection.	Має велику колекцію чайних сервізів.	趣味を凝らしたティーセットのコレクション。	취향이 확고한 다도 콜렉션을 갖고 있습니다.	information about the person	
2292	Fluent in three languages.	Вільно володіє трьома мовами.	3か国語を操る。	3개 국어에 능통합니다.	information about the person	
2293	Frequents jazz clubs.	Відвідує джазові клуби.	ジャズクラブに通う。	재즈 클럽에 자주 다닙니다.	information about the person	
2294	Trained in ikebana.	Навчена ікебані.	生け花を習っている。	이케바나를 배우고 있습니다.	information about the person	
2295	Possesses an alluring yet mysterious aura at poetry slams.	Має привабливу і водночас таємничу ауру на поетичних вечорах.	詩の朗読会で魅惑的かつミステリアスなオーラを放つ。	시낭송회에서는 매혹적이고 신비로운 기운을 발산합니다.	information about the person	
2296	Avid chess player.	Затята шахістка.	チェスの愛好家。	체스 애호가입니다.	information about the person	
2297	Elegance and mystery.	Елегантність і загадковість.	エレガントでミステリアス。	우아하고 신비합니다.	information about the person	
2298	Passionate about traditional Ikebana.	Захоплюється традиційною ікебаною.	伝統的な華道に情熱を注ぐ。	전통 이케바나에 열정을 갖고 있습니다.	information about the person	
2299	Appreciates the symphony.	Цінує симфонічну музику.	交響曲を鑑賞するのが趣味。	교향곡을 즐겨 감상합니다.	information about the person	
2300	Exudes grace.	Випромінює грацію.	優雅さを醸し出す。	품위가 우러나옵니다.	information about the person	
2301	Enjoys the classic literature.	Захоплюється класичною літературою.	古典文学を楽しむ。	고전 문학을 즐겨 감상합니다.	information about the person	
2302	"Reads a book a day; thinks TV is a ""passing fad."""	"Читає по книзі на день; вважає телевізор ""швидкоплинною забавкою""."	1日1冊本を読む。テレビは「一過性の流行」だと思っている。	하루에 책을 한 권 읽으며 TV는 「한때의 유행」이라 생각합니다.	information about the person	
2303	IQ off the charts, tea-making skills not so much.	IQ зашкалює, а навички заварювання чаю - не дуже.	IQは飛びぬけて高いが、お茶を淹れる腕はそれほどでもない。	IQ는 굉장히 높은데 정작 차 한잔 끓이는 데는 애를 먹습니다.	information about the person	
2304	A debate champion who argues with her alarm clock every morning.	Чемпіонка з дебатів, яка щоранку сперечається зі своїм будильником.	毎朝目覚まし時計と議論するディベートチャンピオン。	토론 대회 챔피언답게 매일 아침마다 알람시계와 말싸움을 벌입니다.	information about the person	
2305	Every equation, a melody. Every theorem, a sonnet.	Кожне рівняння - мелодія. Кожна теорема - сонет.	「すべての方程式はメロディー、すべての定理はソネット」	모든 공식은 멜로디와 같고, 모든 이론은 시와 같습니다.	information about the person	
2306	An orchestra of ideas, with every thought a masterpiece.	Оркестр ідей, де кожна думка - шедевр.	すべての発想が傑作となる、アイデアのオーケストラ。	하나하나가 걸작 그 자체인 아이디어의 오케스트라가 머릿속에서 흘러나옵니다.	information about the person	
2307	Top of my class, president of the student council, a born leader - that's me.	Найкраща в класі, президент студентської ради, природжена лідерка - це все я.	クラスのトップ、生徒会長、生まれながらのリーダー、それが私。	학급 1등, 학생회장, 타고난 리더 그 자체입니다.	information about the person	
2308	Precision	Ретельність	正確さ	정밀	UI: The ability to focus on the details, ensure accuracy, and maintain high-quality standards.	
2309	By precision level	За рівнем ретельності	正確さレベル順	정밀 기준	UI (sorting)	
2310	Experience	Досвід	職歴	경험	UI (attribute of a character) work experience	
2311	Call Home	Телефонувати	自宅に電話する	집으로 전화	UI (call the character on the home phone number)	
2312	Call to Office	Виклик до офісу	オフィスに電話する	회사로 전화	UI (call a subordinate to you)	
2313	<fullname> is not currently at the workplace. Try again on a working day.	<surname> зараз не на робочому місці. Спробуйте у будній день.	<fullname>は現在職場におりません。営業日におかけ直しください。	<fullname> 씨는 지금 회사에 계시지 않습니다. 영업일에 다시 전화해 보세요.	Phone call	
2314	Uh, you wanted to see me, boss?	Ви хотіли мене бачити, бос?	ああチーフ、何かご用ですか？	어, 저 보자고 하셨다고요?	Man	
2315	Good day. I received your call. How may I assist in optimizing our operational efficiency?	Доброго дня. Я отримав ваш дзвінок. Як я можу допомогти в підвищенні ефективності нашої роботи?	もしもし、お電話いただきました。業務効率の最適化について、何かお手伝いできることはありますか？	안녕하세요. 전화 받았습니다. 저희 회사의 경영 효율성을 어떻게 최적화하면 될까요?	Man	
2316	Hey boss! You rang?	Агов, босе! Кликали?	やあチーフ！電話しました？	사장님! 저 부르셨다고요?	Man	
2317	Good afternoon. I'm here to address any concerns or opportunities you'd like to explore.	Доброго дня. Я тут, щоб обговорити будь-які проблеми або можливості, які ви хотіли б розглянути.	こんにちは。ご懸念事項やご要望があれば、お手伝いさせていただきますのでお聞かせください。	안녕하십니까. 사장님께서 논의하고 싶은 각종 주제와 기회를 기꺼이 논하러 왔습니다.	Man	
2318	Excuse me, you wanted to see me?	Вибачте, ви хотіли мене бачити?	すみません、お呼びでしょうか？	실례합니다, 저 보자고 하셨다고요?	Woman	
2319	Good afternoon. You wished to discuss something?	Доброго дня. Ви хотіли щось обговорити?	こんにちは。何かお話がありましたか？	안녕하세요. 논의하실 문제가 있으신가요?	Woman	
2320	Well, here I am, as radiant as ever! Now, what's up?	А ось і я, сяюча, як ніколи! То, що сталося?	どーも、私は相変わらずここで元気いっぱい！何かあったかしら？	저 왔어요! 언제나처럼 아름답게요! 무슨 일로 부르셨죠?	Woman	
2321	Good afternoon. Shall we proceed to the matter at hand?	Добрий день. Перейдемо до справи?	こんにちは。それでは早速案件に移りましょうか？	안녕하세요. 곧바로 본론으로 들어갈까요?	Woman	
2322	Uh, hi boss. You needed me?	Привіт, босе. Ви мене викликали?	おっとチーフですか。何かご用でも？	안녕하세요, 사장님. 저 찾으셨다고요?	Man	
2323	You called, boss? I have the latest data insights if needed.	Дзвонили, босе? Я маю найсвіжіші дані, якщо потрібно.	チーフ、お呼びですか？最新データの分析結果がありますよ。	찾으셨어요, 사장님? 최신 데이터 분석이 필요하면 바로 드릴 수 있는데요.	Man	
2324	Hey there, chief! What can I do ya for today?	Привіт, шефе! Чим можу допомогти?	やあ、チーフ！今日は何の用ですかい？	야아, 사장님! 오늘은 뭘 할까요?	Man	
2325	Afternoon. Ready when you are.	Доброго дня. Готовий, коли ви будете готові.	こんにちは。準備はできておりますので、いつでもおっしゃってください。	안녕하세요. 언제든 딱 준비되어 있습니다.	Man	
2326	I, um, came as soon as I could.	Я прийшла, як тільки змогла.	私、えっと、これでも急いだんですけど。	어, 저, 최대한 빨리 왔습니다만.	Woman	
2327	Good afternoon. Prepared for a comprehensive update?	Доброго дня. Готові до всебічного аналізу?	こんにちは。全般的な近況報告の準備はよろしいですか？	안녕하세요. 전반적인 근황을 보고해 드릴까요?	Woman	
2328	Darling boss, missed me already?	Любий босе, вже скучили за мною?	チーフったら、もう私に会いたくなっちゃたの？	안녕하세요 사장님! 저 보고 싶었어요?	Woman	
2329	Good afternoon. Eager to collaborate on our next success.	Доброго дня. З нетерпінням чекаю на співпрацю над нашим черговим досягненням.	こんにちは。次の成功に向けてぜひお手伝いさせていただきます。	안녕하세요. 어서 다음 성공을 함께 쟁취하고 싶네요.	Woman	
2330	Reassign	Змінити посаду	異動させる	재배치한다	UI (remove an employee from a position for further appointment to another position)	
2331	Terminate	Звільнити	解雇する	해고한다	UI (employee dismissal)	
2332	Okay, I, uh, I'll be waiting for your next instructions, boss.	Гаразд, я чекатиму наступних вказівок, босе.	わかりました、ではチーフ、次の指示を待っています！	알겠습니다, 사장님. 그럼 다음 지시 대기하고 있겠습니다.	Man	
2333	Affirmative. Awaiting further directives.	Так точно. Чекаю подальших вказівок.	承知しました。次の指示をお待ちます。	확인했습니다. 추가 지시 대기하겠습니다.	Man	
2334	Roger that, boss! Eager to see where you'll place me next!	Зрозумів, босе! Не терпиться дізнатися, куди ви мене відправите далі!	チーフ、了解っす！次はどこで仕事ができるか楽しみだなあ！	알겠습니다! 다음에 어떤 직무를 맡겨 주실지 기대가 되네요!	Man	
2335	Understood. I'm on standby for your next strategic move.	Зрозумів. Я чекаю на ваш наступний стратегічний крок.	承知いたしました。次の戦略的な異動に備えて待機しております。	알겠습니다. 다음 지시를 대기하고 있겠습니다.	Man	
2336	Okay... I'll just, um, wait for what to do next...	Гаразд. Я просто почекаю, що робити далі...	はあ、わかりました…では次にやるべきことの指示を待っています。	알겠습니다... 그럼 다음에 할 일을 기다리고 있겠습니다...	Woman	
2337	Confirmed. Awaiting the next assignment.	Зрозуміло. Чекаю наступного завдання.	承知しました。では異動の指示をお待ちします。	확인했습니다. 다음 배치를 대기하고 있겠습니다.	Woman	
2338	Got it, darling! Can't wait to see where you'll need me next!	Зрозуміла, серденько! Не можу дочекатися, де я тобі знадоблюся наступного разу!	わかったわ！次の仕事が待ち遠しいわね！	알았어요! 다음에 어떤 일을 맡을지 기대가 되네요!	Woman	
2339	Acknowledged. I'm poised for the upcoming chapter.	Зрозуміла. Я готова до наступної глави.	承知いたしました。次の段階に向けての準備はできています。	확인했습니다. 다음 단계로 나아갈 준비를 하고 있겠습니다.	Woman	
2340	Right, umm, standing by then, boss.	Гаразд, тоді чекаю, босе.	そうですかチーフ、では待っています。	알겠습니다, 사장님. 그럼 대기하겠습니다.	Man	
2341	Noted. I'll await subsequent instructions.	Зрозумів. Чекатиму подальших інструкцій.	承知しました。この後の指示をお待ちます。	확인했습니다. 추후 지시를 기다리겠습니다.	Man	
2342	You got it, chief! Just give the word, and I'm there!	Буде зроблено, шефе! Тільки скажіть, і я буду там!	任せてよ、チーフ！指示があれば、速攻で移ります！	알겠습니다! 말씀만 하시면 바로 달려가겠습니다!	Man	
2343	Absolutely. I'll be ready for the next step.	Зрозумів. Я буду готовий до наступного кроку.	もちろんです。では次のステップに備えることとします。	확인했습니다. 다음 단계를 기다리겠습니다.	Man	
2344	O-Okay... I'll, uh, be ready when you are...	Гаразд... Я буду готова, коли ви скажете...	オッ、オーケーです…しっ、しっかり準備しておきます…	아, 알겠습니다... 언제든지 말씀만 하세요...	Woman	
2345	Understood. Standing by for new directives.	Зрозуміла. Чекаю нових вказівок.	承知しました。では、新たな指示をお待ちしています。	확인했습니다. 새로운 지시를 기다립니다.	Woman	
2346	Sure thing, sugar! I'm all ears for the next big plan!	Звісно, серденько! Я з нетерпінням чекаю на наступний грандіозний задум!	もちろんよ、ふふっ！次のビッグな計画が待ち遠しいわ！	당연하지요! 또 어떤 굉장한 계획이 있을지 기다려지는걸요!	Woman	
2347	Certainly. Eagerly anticipating our next venture.	Авжеж. З нетерпінням чекаю на нашу наступну пригоду.	もちろんです。次のベンチャーを心待ちにしています。	확인했습니다. 다음 도전을 열렬히 기다리고 있겠습니다.	Woman	
2348	You really want to let me go?	Ви справді хочете мене звільнити?	えっ、本当に僕を辞めさせるんですか？	정말 절 내치시는 겁니까?	Man	
2349	Is this the final decision?	Це остаточне рішення?	それは最終決定でしょうか？	결정은 내려졌나 보군요?	Man	
2350	So, is this the end of the road for me here?	То це кінець нашого шляху?	つまり、これで俺も終わりってことっすか？	뭐, 여기까지가 끝인가 보군요?	Man	
2351	Confirming, is this a termination?	Підтвердьте, це звільнення?	確認しますが、解雇ってことでよろしいでしょうか？	해고가 확실한가요?	Man	
2352	Are... are you certain?	Ви... Ви впевнені?	えっ…本当ですか？	정... 말이신가요?	Woman	
2353	Is this irreversible?	Це незворотньо?	それって取り消せないのでしょうか？	재고해 주시면 안되나요?	Woman	
2354	Darling, is this for real?!	Серденько, це все по-справжньому?!	ちょっと、マジで言ってるの？	잠깐, 진심이신가요?!	Woman	
2355	Is this our final interaction?	Це наша остання зустріч?	これが最後のやり取りということでしょうか？	이게 최종 결정입니까?	Woman	
2356	Oh, um, alright then. I guess I'll gather my things...	Ну, тоді добре. Я, мабуть, піду збирати речі...	なるほど、そういうことですか、分かりました。では荷物をまとめるとします…	아, 뭐, 그럼 알겠습니다. 그럼 제 짐 챙기겠습니다...	Man	
2357	Understood. I'll immediately start the handover process.	Зрозуміло. Я негайно почну оформлення документів.	わかりました。さっそく引き継ぎを始めます。	알겠습니다. 지금 즉시 인수인계 시작하겠습니다.	Man	
2358	Bummer! Well, every ending's a new beginning, right?	Облом! Що ж, кожен кінець - це новий початок, чи не так?	なんてこった！でも、すべての終わりは新たな始まりだっていうしね、そうだろ？	젠장! 뭐, 끝은 다 새로운 시작이라지 않습니까?	Man	
2359	I respect your decision. It's been an honor working here.	Я поважаю ваше рішення. Для мене було честю працювати тут.	チーフの決断を尊重します。ここで働けて光栄でした。	그 결정을 존중합니다. 함께 일해서 영광이었습니다.	Man	
2360	Oh... okay. I'll clear my desk then.	Ох... гаразд. Тоді я звільню свій стіл.	そっ…そうですか。ではデスクを片づけます。	아... 알겠습니다. 그럼 책상 빼겠습니다.	Woman	
2361	I see. I'll collect my belongings and exit promptly.	Зрозуміло. Я зберу свої речі і швидко піду.	なるほど、では荷物をまとめてすぐに出ていきます。	알겠습니다. 그럼 이제 짐 챙기겠습니다.	Woman	
2362	Such a shame, but life goes on, sweetie!	Дуже шкода, але життя продовжується, любчику!	残念ね、でも人生は続くの、そうよね！	안타깝네요. 하지만 아직 살 날은 창창하니까요!	Woman	
2363	A regrettable decision, but I understand. Farewell.	Прикре рішення, але я розумію. До побачення.	それは残念なご決断ですが、承知しました。お世話になりました。	아쉬운 결정이지만 이해합니다. 그럼 안녕히.	Woman	
2364	So, this is it, huh?	То це все?	つまり、これで終わりってことですか？	그럼 뭐, 여기까집니까?	Man	
2365	Just like that, I'm dismissed?	Просто так мене звільняєте?	では、解雇ってことでしょうか？	그냥 이렇게 끝입니까?	Man	
2366	Getting the boot, just like that?	Виганяєте, ось так просто?	じゃあ、クビってことっすか？	해고라는 건가요?	Man	
2367	Are you terminating my contract?	Ви розриваєте мій контракт?	私の雇用契約を打ち切るということでよろしいでしょうか？	계약 해지라는 건가요?	Man	
2368	I'm being let go, just like that?	Мене виганяють, ось так просто?	こんな簡単に、クビですか？	이렇게 끝나는 겁니까?	Woman	
2369	My termination is confirmed?	Моє звільнення вже затверджено?	私の解雇は決定済みということですか？	제 계약은 끝나는 건가요?	Woman	
2370	This is a joke. You really want to get rid of me?	Це якийсь жарт. Ви справді хочете від мене позбутися?	冗談じゃないわ。本当に私を追い出したいの？	농담이시죠. 정말 제가 잘린다구요?	Woman	
2371	Is this dismissal official?	Це офіційне звільнення?	この解雇は正式なものということでしょうか？	정식으로 해고하시는 겁니까?	Woman	
2372	Wow, okay... wasn't expecting this. I'll pack up then.	Ого, гаразд... не очікував такого. Тоді я піду збиратися.	うへ、わかりました...これは予想外でした。荷物をまとめるとします。	와, 알겠습니다... 이건 예상 못했네. 그럼 짐 싸겠습니다.	Man	
2373	I must say, it's quite unexpected. Very well.	Мушу сказати, це досить несподівано. Що ж, добре.	全く予想外だと言わざるを得ません。そういうことですか。	전혀 예상치 못했다는 말은 드려야겠군요. 알겠습니다.	Man	
2374	Ouch, that stings. Alright, see ya, I guess.	Ой, боляче. Гаразд, ще побачимося.	いやあ、それはイタいなあ。仕方ない、じゃあまた。	아이고, 훅 들어오네. 뭐 그럼 알겠습니다.	Man	
2375	How professional. I expected more respect, frankly.	Як професійно. Чесно кажучи, я очікував більшої поваги.	なんてプロフェッショナルなんだ。正直、もっと敬意を払っていただけるると思っていましたよ。	퍽이나 프로페셔널하군요. 솔직히 좀 더 존중해 주길 바랐는데.	Man	
2376	I... understand. I didn't see this coming.	Я... розумію. Я не думала, що так вийде.	わ…わかりました。こんなことになるとは思いませんでした。	이... 해했습니다. 전혀 예상 못했네요.	Woman	
2377	I can't believe this. Fine, I'll make my exit.	Я не можу в це повірити. Гаразд, я піду.	信じられないです。でも、わかりました、出ていきます。	믿을 수가 없네요. 알겠습니다, 바로 떠나죠.	Woman	
2378	You're serious? This is... unexpected.	Ви серйозно? Це... несподівано.	本気なの？こんなの…信じらんないわ。	진심이세요? 이건... 예상 못했는데.	Woman	
2379	This is incredibly disappointing. I thought better of this team.	Це надзвичайно розчаровує. Я була кращої думки про цю компанію.	完全に失望しました。もっといいチームだと思っていました。	정말이지 실망스럽군요. 이 팀은 더 나을 줄 알았는데.	Woman	
2380	Really? Phew, I thought I was done for!	Невже? Я думав, що мені кінець!	本当ですか？ふぅ、もうダメだと思いました！	정말이십니까? 휴, 이대로 끝나는 줄 알았습니다!	Man	
2381	Thank you for reconsidering. I'll focus on improving.	Дякую, що передумали. Я зосереджуся на самовдосконаленні.	再考していただきありがとうございます。今後は改善に努めます。	재고해 주셔서 감사합니다. 향후 더욱 개선된 모습 보여 드리겠습니다.	Man	
2382	Woo! You had me sweating there!	Ого! Ти змусив мене спітніти!	いやー、汗かいちゃったよ！	와, 진짜 식은땀 흘리게 하시네!	Man	
2383	I'm grateful for another opportunity to contribute.	Я вдячний за ще одну можливість зробити свій внесок.	貢献できるチャンスをもう一度いただき、感謝しております。	다시 한번 기여할 기회를 주셔서 감사합니다.	Man	
2384	Oh my, thank you! I promise to do better.	О, Боже, дякую! Обіцяю виправитися.	まあ、ありがとうございます！もっと頑張るって約束します。	어머나, 감사합니다! 앞으로 더 잘 할게요.	Woman	
2385	I appreciate the second chance.	Я ціную другий шанс.	二度目のチャンスをいただき感謝します。	두 번째 기회를 주셔서 감사합니다.	Woman	
2386	Knew you couldn't resist keeping me around!	Я знала, що ти не втримаєшся і залишишся зі мною!	ふふっ、私を引き留めずにはいられないって分かってたわ！	그래요, 사장님은 저 없으면 안 된다니깐!	Woman	
2387	Excellent choice. Let's continue achieving greatness together.	Чудовий вибір. Давай продовжимо досягати вершини разом.	良い決断だとおもいます。これからも共に偉業を成し遂げてまいりましょう。	잘 선택하셨습니다. 계속해서 함께 더 위대한 목표를 추구해 봅시다.	Woman	
2388	Didn't think you'd change your mind... Thanks, I guess.	Не думав, що ти передумаєш... Дякую, мабуть.	気が変わるとは思いませんでしたよ…まあ、ありがとうと言っておきます。	마음을 바꾸실 줄은 몰랐는데... 어쨌든 감사합니다.	Man	
2389	A reprieve? I'll admit, I'm surprised.	Відстрочка? Визнаю, я здивований.	決定保留ですか？ふう、正直、驚きました。	결정을 철회하신다고요? 솔직히 놀랐습니다.	Man	
2390	Back from the brink! Thought I was a goner!	Я був біля краю прірви! Дякую!	崖っぷちからの復活だ！もうダメかとおもったぜ！	이거 벼랑 끝까지 갔다 왔네요! 진짜 끝나는 줄 알았습니다!	Man	
2391	A wise reconsideration. I trust it won't be in vain.	Мудре рішення. Ви правильно зробили.	賢明なご再考ですな。これを無駄にはさせません。	현명하게 재고하신 겁니다. 이렇게 끝나지 않을 줄 알았습니다.	Man	
2392	So, there's still a chance? Thank you.	То ще є шанс? Дякую.	じゃあ、まだチャンスがあるってことですか？ありがとうございます。	그럼 또 기회를 주시는 건가요? 감사합니다.	Woman	
2393	A second chance, hm? I wasn't expecting that.	Другий шанс? Я цього не чекала.	二度目のチャンスですか？思ってもいませんでした。	두 번째 기회로군요? 예상 못했는데.	Woman	
2394	I knew you were pulling my leg!	Я знала, що ти мене розігруєш!	ふふ、私をからかっているんだって分かっていたわ！	괜히 밀당하시는 거 다 알았어요!	Woman	
2395	Interesting... it seems I've underestimated you.	Цікаво... Здається, я вас недооцінила.	それは興味深いですね…私、チーフを過小評価していたようです。	흥미롭군요... 아무래도 제가 사장님을 너무 과소평가한 모양입니다.	Woman	
2396	Praise and give a bonus	Похвалити та видати премію	褒めてボーナスを出す	칭찬하고 보너스를 준다	UI	
2397	Whoa, a bonus? Are you sure this is for me? That's... wow, thanks!	Ого, премія? Ви впевнені, що це мені? Це... ого, дякую!	ボーナス？本当に僕に？それは…やったあ、ありがとうございます！	와, 보너스요? 진짜 저 주시는 거예요? 이야... 감사합니다!	Man	
2398	I appreciate the recognition. Thank you for the bonus.	Я ціную визнання. Дякую за бонус.	評価していただき感謝します。ボーナスありがとうございます。	이렇게 인정해 주셔서 감사합니다. 보너스도요.	Man	
2399	Hey, a bonus! You sure know how to make a guy feel special!	Ого, премія! Ти точно знаєш, як зробити так, щоб чоловік відчув себе особливим!	おお、ボーナスか！チーフは社員の喜ばせ方を知ってるねえ！	야아, 보너스라니! 진짜 비행기 태우는 법을 아시는군요!	Man	
2400	I must say, this bonus signifies a well-appreciated recognition. Thank you.	Мушу сказати, що ця премія означає гідне визнання. Дякую.	このボーナスは高い評価を得たという証だと理解いたします。ありがとうございます。	이 보너스는 제 노력을 확실히 인정해주신다는 의미로군요. 감사합니다.	Man	
2401	Oh, um, a bonus? For me? Thank you so much!	Премія? Для мене? Дуже вам дякую!	えっ、あの、ボーナス？私に？あっ、ありがとうございます！	와, 보너스요? 저한테요? 너무 감사합니다!	Woman	
2402	The bonus is an appreciated gesture. Thank you for recognizing my effort.	Премія - це приємний жест. Дякую за визнання моїх зусиль.	ボーナスとは…ありがたいお心遣いです。私の努力を認めていただき、ありがとうございます。	이 보너스는 정말 값진 거예요. 제 노력을 인정해 주셔서 감사합니다.	Woman	
2403	Oh my, a bonus! How absolutely delightful! Thank you, darling!	Боже мій, премія! Це просто чудово! Дякую, золотце!	あら、ボーナスですって！うわぁー嬉しいわ！ありがとう、チーフのこと大好き！	어머나, 보너스라니! 너무 좋아! 사장님 사랑해요!	Woman	
2404	This bonus is a testament to your exceptional leadership. Thank you.	Цей бонус є свідченням вашого виняткового лідерства. Дякую.	このボーナスは、チーフの素晴らしいリーダーシップの証ですわ。ありがとうございます。	이 보너스는 사장님의 특출난 리더십을 확실히 증명하는군요. 감사합니다.	Woman	
2405	I was not expecting any extra pay. This is amazing, thank you!	Я не очікував ніякої доплати. Це дивовижно, дякую!	ボーナスなんて思ってもいませんでした。これはすごい、ありがとうございます！	이야, 특별 수당은 생각지도 못했는데요. 정말 굉장하네요, 감사합니다!	Man	
2406	An additional sum for my work... thank you for the acknowledgment.	Додаткова сума за мою роботу... дякую за визнання.	私の仕事に対しての特別報酬…評価していただき、ありがとうございます。	제 노력을 증명하는 특별한 보상이로군요... 알아봐 주셔서 감사합니다.	Man	
2407	A bonus? You just made my day! No, my week! Thanks a bunch!	Премія? Ви щойно зробили мій день! Ні, мій тиждень! Дуже вам дякую!	ボーナスだって？ヤッター、今日はハッピーでいられそうだ！いや、今週ずっとかな！サンキューです！	특별 수당이요? 야아, 오늘 기분 째지는데요! 아니, 요번 주 내내 째지겠습니다 이거!	Man	
2408	A bonus is always a pleasant surprise. I'm grateful for the acknowledgment.	Премія - це завжди приємна несподіванка. Я вдячний за визнання.	ボーナスとはいついただいても嬉しいものです。私の仕事ぶりを認めていただき、感謝します。	특별 수당은 언제나 즐거운 놀라움이지요. 저를 인정해 주셔서 감사합니다.	Man	
2409	You're giving me extra? I'm... I'm not sure what to say. Thanks!	Ви дасте мені додаткову платню? Я... Не знаю, що й сказати. Дякую!	ボーナスをいただけるんですか？何と言っていいか…でも、ありがとうございます！	특별 수당을 주신다고요? 와, 이거... 뭐라 해야 할지 모르겠네요. 감사합니다!	Woman	
2410	This additional compensation is noted and appreciated. Thank you.	Ця додаткова компенсація прийнята до уваги і цінується. Дякую.	このような特別報酬がいただけるなんて感謝です。ありがとうございます。	이런 특별 수당은 언제나 고맙지요. 감사합니다.	Woman	
2411	Extra cash? You're too kind! I could just hug you!	Додаткові гроші? Ви надто добрі! Так і хочеться вас обійняти!	えっ、特別報酬ですって？チーフってなんて優しいの！もう抱きしめたくなっちゃうわ！	특별 수당이요? 이런 사장님이 또 어디 있을까! 안아드리고 싶네요!	Woman	
2412	I'm gratified and honored by this bonus. Your generosity knows no bounds.	Я задоволений і вшанований цією премією. Ваша щедрість не має меж.	ボーナスがいただけることを嬉しく思い、また光栄に思います。チーフの寛大なご配慮には感謝の言葉も見つかりません。	보너스를 받게 되어 기쁘고 영광입니다. 그 관대함에 뭐라 감사해야 할지 모르겠네요.	Woman	
2413	Employee happiness	Щастя працівника	従業員の幸福度	직원 행복	UI	
2414	Salary	Зарплата	給与	급여	UI	
2415	Salary level satisfaction	Задоволеність рівнем зарплати	給与水準の満足度	급여 수준 만족도	UI	
2416	By happiness level	За рівнем щастя	幸福度順	행복 기준	UI	
2417	You've already called today. Don't be annoying.	Ви вже дзвонили сьогодні. Не будь надокучливими.	もう先ほど電話をかけました。しつこくかけるのは止めましょう。	방금 전화를 했다. 괜히 귀찮게 하지 말자.	UI	
2418	Reprimand	Догана	厳重注意する	엄중히 주의한다	UI (Scold an employee)	
2419	Boost	Менеджмент	能力ブースト	격려한다	UI (menu where you can improve the skills of an employee)	
2420	Give a vacation	Дати відпустку	休暇を与える	휴가를 준다	UI	
2421	Send to the training courses	Відправити на навчальні курси	研修を受けさせる	연수를 보낸다	UI	
2422	I'm sorry, boss... I'll try not to mess up again...	Вибачте, босе... Я постараюся більше так не робити.	すみません、チーフ…二度とミスらないようにします…	죄송합니다, 사장님... 다시는 실수하지 않겠습니다...	Man	
2423	I understand the issues and will address them immediately, sir.	Я зрозумів проблему і вирішу її негайно, сер.	問題点は把握していますので、すぐに対処します。	문제를 명확히 인지하였으며 앞으로 즉각 보고하겠습니다.	Man	
2424	Oh, a hiccup, huh? No biggie, boss, I'll sort it out!	О, халепа, так? Нічого страшного, босе, я розберуся!	えっ、そんなことっすか？大した問題じゃないっすよ。すぐに直します。	아, 그래요? 별거 아니네요. 금방 고치겠습니다!	Man	
2425	I take full responsibility and assure you of immediate rectification.	Я беру на себе повну відповідальність і запевняю вас, що все буде негайно виправлено.	私が全責任を負い、直ちに是正することをお約束します。	제가 전적으로 책임지고 즉시 시정할 것을 약속드리겠습니다.	Man	
2426	Oh, I... I'm really sorry, I'll work harder...	О, я... Мені дуже шкода, я працюватиму старанніше...	ああ…本当に申し訳ありません。これからは、もっと頑張ります…	으, 저, 정말 죄송해요. 앞으로 더 열심히 할게요...	Woman	
2427	I've noted the errors. They will not be repeated.	Я зафіксувала помилки. Вони більше не повторяться.	私のミスを認めます。二度と繰り返しません。	실수를 명확히 인지했습니다. 두 번 다시 이런 일은 없을 것입니다.	Woman	
2428	Oopsie! Well, nobody's perfect, right? I'll fix it, promise!	Упс! Ну, ніхто не ідеальний, правда? Я все виправлю, обіцяю!	やらかしちゃった！でも完璧な人なんていませんよね？ちゃんと直すわ、本当よ！	어머나! 그래도 완벽한 사람은 없잖아요! 제가 약속하고 고쳐 놓을게요!	Woman	
2429	An oversight that will be corrected posthaste. My apologies.	Недогляд, виправлю негайно. Прошу вибачення.	見落としは早急に訂正いたします。申し訳ございません。	누락된 내용은 즉시 수정하도록 하겠습니다. 죄송합니다.	Woman	
2430	Seriously? After all I do here, this is the thanks I get?	Серйозно? Після всього, що я тут роблю, і це твоя подяка?	マジですか？ここでこんなにやってきたのに、これがその礼ってことですか？	정말입니까? 이렇게 열심히 노력하는데 겨우 이게 그 보답입니까?	Man	
2431	I meticulously calculated every move. This is unfair!	Я ретельно прораховував кожен крок. Це несправедливо!	一挙手一投足にまで気を配ってきたというのに、これは不公平だ！	하나하나 세심하게 업무에 힘써 왔는데, 이건 불공평합니다!	Man	
2432	Oh, c'mon! I pour my soul into this job!	Та годі тобі! Я вкладаю душу в цю роботу!	おいおい！俺はこの仕事に魂を注いてきたんだぜ！	아, 진짜! 전 진짜 이 일에 영혼까지 갈아 넣고 있단 말입니다!	Man	
2433	An unmerited criticism, I must protest.	Незаслужена критика, я мушу заперечити.	いわれのない批判ですな。抗議します。	이런 불합리한 평가에는 항의를 해야겠습니다.	Man	
2434	I try so hard, and this is how you treat me?	Я так стараюся, і ось як ви до мене ставитеся?	こんなに頑張ってきたのに、これがその報いですか？	저 진짜 열심히 노력했는데 이렇게 대우하셔야겠어요?	Woman	
